row_idx	col_idx	log2ratio
STRAT-USD	Btc-usd	0.0
HC-USD	Btc-usd	0.0
BTG-USD	Btc-usd	0.0
DCR-USD	Btc-usd	0.0
PPT-USD	Btc-usd	0.0
DGB-USD	Btc-usd	0.0
KMD-USD	Btc-usd	0.0
LTC-USD	Btc-usd	0.0
DASH-USD	Btc-usd	0.0
XLM-USD	Btc-usd	0.0
ICX-USD	Btc-usd	0.0
GUSD-USD	Btc-usd	0.0
AOA-USD	Btc-usd	0.0
ADA-USD	Btc-usd	0.0
SNT-USD	Btc-usd	0.0
THETA-USD	Btc-usd	0.0
MAID-USD	Btc-usd	0.0
DASH-USD	Btc-usd	0.0
MKR-USD	Btc-usd	0.0
USDC-USD	Btc-usd	0.0
LINK-USD	Btc-usd	0.0
BCN-USD	Btc-usd	0.0
LTC-USD	Btc-usd	0.0
INB-USD	Btc-usd	0.0
QTUM-USD	Btc-usd	0.0
BCD-USD	Btc-usd	0.0
ETC-USD	Btc-usd	0.0
PAI-USD	Btc-usd	0.0
ETH-USD	Btc-usd	0.0
USDT-USD	Btc-usd	0.0
GNT-USD	Btc-usd	0.0
WAVES-USD	Btc-usd	0.0
STRAT-USD	Btc-usd	0.0
MAID-USD	Btc-usd	0.0
BTS-USD	Btc-usd	0.0
TRX-USD	Btc-usd	0.0
ETN-USD	Btc-usd	0.0
PAI-USD	Btc-usd	0.0
NEO-USD	Btc-usd	0.0
XMR-USD	Btc-usd	0.0
AOA-USD	Btc-usd	0.0
XVG-USD	Btc-usd	0.0
EOS-USD	Btc-usd	0.0
DGD-USD	Btc-usd	0.0
PAY-USD	Btc-usd	0.0
ZEC-USD	Btc-usd	0.0
NEXO-USD	Btc-usd	0.0
DOGE-USD	Btc-usd	0.0
REPO-USD	Btc-usd	0.0
PAX-USD	Btc-usd	0.0
POLY-USD	Btc-usd	0.0
ZIL-USD	Btc-usd	0.0
WTC-USD	Btc-usd	0.0
XEM-USD	Btc-usd	0.0
LRC-USD	Btc-usd	0.0
DCN-USD	Btc-usd	0.0
FCT-USD	Btc-usd	0.0
LRC-USD	Btc-usd	0.0
ADA-USD	Btc-usd	0.0
EURS-USD	Btc-usd	0.0
BTG-USD	Btc-usd	0.0
R-USD	Btc-usd	0.0
AE-USD	Btc-usd	0.0
IOST-USD	Btc-usd	0.0
ONT-USD	Btc-usd	0.0
FCT-USD	Btc-usd	0.0
LKY-USD	Btc-usd	0.0
ODE-USD	Btc-usd	0.0
SC-USD	Btc-usd	0.0
REP-USD	Btc-usd	0.0
STEEM-USD	Btc-usd	0.0
IOST-USD	Btc-usd	0.0
ZIL-USD	Btc-usd	0.0
MIOTA-USD	Btc-usd	0.0
XZC-USD	Btc-usd	0.0
POLY-USD	Btc-usd	0.0
TRX-USD	Btc-usd	0.0
MCO-USD	Btc-usd	0.0
RVN-USD	Btc-usd	0.0
DCR-USD	Btc-usd	0.0
DGB-USD	Btc-usd	0.0
USDT-USD	Btc-usd	0.0
ZRX-USD	Btc-usd	0.0
DAI-USD	Btc-usd	0.0
WAN-USD	Btc-usd	0.0
TUSD-USD	Btc-usd	0.0
ARDR-USD	Btc-usd	0.0
MIOTA-USD	Btc-usd	0.0
STEEM-USD	Btc-usd	0.0
BTC-USD	Btc-usd	0.0
BCH-USD	Btc-usd	0.0
WAX-USD	Btc-usd	0.0
BAT-USD	Btc-usd	0.0
EOS-USD	Btc-usd	0.0
BAT-USD	Btc-usd	0.0
KCS-USD	Btc-usd	0.0
MKR-USD	Btc-usd	0.0
ZRX-USD	Btc-usd	0.0
XIN-USD	Btc-usd	0.0
PAX-USD	Btc-usd	0.0
HOT-USD	Btc-usd	0.0
ODE-USD	Btc-usd	0.0
DAI-USD	Btc-usd	0.0
BCN-USD	Btc-usd	0.0
NANO-USD	Btc-usd	0.0
NEXO-USD	Btc-usd	0.0
THETA-USD	Btc-usd	0.0
INB-USD	Btc-usd	0.0
ETN-USD	Btc-usd	0.0
XTZ-USD	Btc-usd	0.0
POWR-USD	Btc-usd	0.0
XZC-USD	Btc-usd	0.0
CNX-USD	Btc-usd	0.0
CNX-USD	Btc-usd	0.0
BNB-USD	Btc-usd	0.0
VET-USD	Btc-usd	0.0
